<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Reflection Nebulae Catalog (from HEASARC)</CatalogType>
  <Description>Merged Catalog of Reflection Nebulae</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Magakian</Author>
  <Date>2012-10-31 12:44:08</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/nebula-catalog/refnebulae.html</Source>
  <Comments>
    Catalog covers 42 Constellations and contains 913 Objects.
    File was saved: Mon Jul 06 16:57:13 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
    [M2003] 882,22.223611,70.251111,,Cep,RNO139,
    [M2003] 883,22.230556,63.162500,,Cep,,
    [M2003] 884,22.243056,61.427778,,Cep,,several stars
    [M2003] 885,22.277222,60.817778,,Cep,,2-3 stars
    [M2003] 886,22.278611,61.405278,,Cep,,
    [M2003] 887,22.281389,60.872500,,Cep,,double star; identification with HD 211658 is not supported by SIMBAD
    [M2003] 888,22.314722,70.968056,,Cep,,
    [M2003] 889,22.386944,62.700000,,Cep,AS490,
    [M2003] 890,22.411944,69.687778,,Cep,,
    [M2003] 891,22.443889,61.225556,,Cep,,
    [M2003] 892,22.481389,63.030833,,Cep,,
    [M2003] 893,22.485000,65.244722,,Cep,RNO142 BS Cep,
    [M2003] 894,22.520278,65.466111,,Cep,,double star
    [M2003] 895,22.543333,57.730556,,Cep,,
    [M2003] 897,22.585556,69.178333,,Cep,GM1-78,double star
    [M2003] 898,22.887500,62.145556,,Cep,MWC1075 IL Cep,double star
    [M2003] 899,22.891944,62.135000,,Cep,,double star
    [M2003] 900,22.953056,61.935833,,Cep,GM3-14,
    [M2003] 901,23.002778,64.137778,,Cep,,2 stars
    [M2003] 903,23.037778,72.729722,,Cep,,
    [M2003] 904,23.063889,60.398889,,Cep,,
    [M2003] 532,11.104167,-77.366111,,Cha,,
    [M2003] 533,11.134722,-77.655833,,Cha,CU Cha,
    [M2003] 534,11.144444,-77.731111,,Cha,Cha IR Neb,
    [M2003] 537,11.163889,-76.614444,,Cha,,
    [M2003] 547,11.208056,-76.740000,,Cha,CV Cha,
